graph_type,n,num_nodes,num_edges,algorithm,time_ns,num_colors
Grafo Cíclico,3,3,3,Brute Force,48625,3
Grafo Cíclico,4,4,4,Brute Force,22208,2
Grafo Cíclico,5,5,5,Brute Force,68542,3
Grafo Cíclico,6,6,6,Brute Force,36084,2
Grafo Cíclico,7,7,7,Brute Force,93542,3
Grafo Cíclico,8,8,8,Brute Force,31750,2
Grafo Cíclico,9,9,9,Brute Force,132708,3
Grafo Cíclico,3,3,3,Brute Force,33042,3
Grafo Cíclico,4,4,4,Brute Force,17958,2
Grafo Cíclico,5,5,5,Brute Force,64250,3
Grafo Cíclico,6,6,6,Brute Force,33000,2
Grafo Cíclico,7,7,7,Brute Force,96250,3
Grafo Cíclico,8,8,8,Brute Force,28834,2
Grafo Cíclico,9,9,9,Brute Force,134916,3
Grafo Cíclico,3,3,3,Brute Force,32500,3
Grafo Cíclico,4,4,4,Brute Force,21042,2
Grafo Cíclico,5,5,5,Brute Force,61083,3
Grafo Cíclico,6,6,6,Brute Force,32875,2
Grafo Cíclico,7,7,7,Brute Force,88875,3
Grafo Cíclico,8,8,8,Brute Force,28334,2
Grafo Cíclico,9,9,9,Brute Force,131125,3
Grafo Cíclico,3,3,3,Brute Force,31750,3
Grafo Cíclico,4,4,4,Brute Force,17125,2
Grafo Cíclico,5,5,5,Brute Force,61334,3
Grafo Cíclico,6,6,6,Brute Force,32583,2
Grafo Cíclico,7,7,7,Brute Force,91667,3
Grafo Cíclico,8,8,8,Brute Force,28792,2
Grafo Cíclico,9,9,9,Brute Force,130125,3
Grafo Cíclico,3,3,3,Brute Force,32125,3
Grafo Cíclico,4,4,4,Brute Force,17042,2
Grafo Cíclico,5,5,5,Brute Force,64875,3
Grafo Cíclico,6,6,6,Brute Force,33625,2
Grafo Cíclico,7,7,7,Brute Force,153167,3
Grafo Cíclico,8,8,8,Brute Force,28542,2
Grafo Cíclico,9,9,9,Brute Force,134250,3
Grafo Cíclico,3,3,3,Brute Force,31666,3
Grafo Cíclico,4,4,4,Brute Force,17291,2
Grafo Cíclico,5,5,5,Brute Force,62458,3
Grafo Cíclico,6,6,6,Brute Force,32667,2
Grafo Cíclico,7,7,7,Brute Force,91875,3
Grafo Cíclico,8,8,8,Brute Force,28375,2
Grafo Cíclico,9,9,9,Brute Force,130125,3
Grafo Cíclico,3,3,3,Brute Force,31708,3
Grafo Cíclico,4,4,4,Brute Force,17500,2
Grafo Cíclico,5,5,5,Brute Force,61041,3
Grafo Cíclico,6,6,6,Brute Force,32625,2
Grafo Cíclico,7,7,7,Brute Force,88209,3
Grafo Cíclico,8,8,8,Brute Force,29750,2
Grafo Cíclico,9,9,9,Brute Force,132667,3
Grafo Cíclico,3,3,3,Brute Force,31625,3
Grafo Cíclico,4,4,4,Brute Force,18292,2
Grafo Cíclico,5,5,5,Brute Force,61875,3
Grafo Cíclico,6,6,6,Brute Force,32334,2
Grafo Cíclico,7,7,7,Brute Force,88167,3
Grafo Cíclico,8,8,8,Brute Force,28458,2
Grafo Cíclico,9,9,9,Brute Force,129917,3
Grafo Cíclico,3,3,3,Brute Force,31125,3
Grafo Cíclico,4,4,4,Brute Force,17125,2
Grafo Cíclico,5,5,5,Brute Force,60000,3
Grafo Cíclico,6,6,6,Brute Force,32250,2
Grafo Cíclico,7,7,7,Brute Force,87625,3
Grafo Cíclico,8,8,8,Brute Force,27750,2
Grafo Cíclico,9,9,9,Brute Force,131583,3
Grafo Cíclico,3,3,3,Brute Force,31375,3
Grafo Cíclico,4,4,4,Brute Force,17292,2
Grafo Cíclico,5,5,5,Brute Force,61291,3
Grafo Cíclico,6,6,6,Brute Force,32084,2
Grafo Cíclico,7,7,7,Brute Force,150083,3
Grafo Cíclico,8,8,8,Brute Force,27834,2
Grafo Cíclico,9,9,9,Brute Force,129167,3
Grafo Completo,1,1,0,Brute Force,5333,1
Grafo Completo,2,2,1,Brute Force,11833,2
Grafo Completo,3,3,3,Brute Force,32334,3
Grafo Completo,4,4,6,Brute Force,122875,4
Grafo Completo,5,5,10,Brute Force,609500,5
Grafo Completo,6,6,15,Brute Force,3928458,6
Grafo Completo,7,7,21,Brute Force,29648209,7
Grafo Completo,8,8,28,Brute Force,264635917,8
Grafo Completo,9,9,36,Brute Force,2461407125,9
Grafo Completo,1,1,0,Brute Force,6916,1
Grafo Completo,2,2,1,Brute Force,18166,2
Grafo Completo,3,3,3,Brute Force,33083,3
Grafo Completo,4,4,6,Brute Force,119667,4
Grafo Completo,5,5,10,Brute Force,592459,5
Grafo Completo,6,6,15,Brute Force,3845625,6
Grafo Completo,7,7,21,Brute Force,28787292,7
Grafo Completo,8,8,28,Brute Force,251487750,8
Grafo Completo,9,9,36,Brute Force,2455316416,9
Grafo Completo,1,1,0,Brute Force,8042,1
Grafo Completo,2,2,1,Brute Force,12250,2
Grafo Completo,3,3,3,Brute Force,32542,3
Grafo Completo,4,4,6,Brute Force,118125,4
Grafo Completo,5,5,10,Brute Force,593542,5
Grafo Completo,6,6,15,Brute Force,3845667,6
Grafo Completo,7,7,21,Brute Force,29335875,7
Grafo Completo,8,8,28,Brute Force,252579542,8
Grafo Completo,9,9,36,Brute Force,2502657083,9
Grafo Completo,1,1,0,Brute Force,14166,1
Grafo Completo,2,2,1,Brute Force,14250,2
Grafo Completo,3,3,3,Brute Force,33333,3
Grafo Completo,4,4,6,Brute Force,120583,4
Grafo Completo,5,5,10,Brute Force,603458,5
Grafo Completo,6,6,15,Brute Force,3900875,6
Grafo Completo,7,7,21,Brute Force,30524333,7
Grafo Completo,8,8,28,Brute Force,256644917,8
Grafo Completo,9,9,36,Brute Force,2473528083,9
Grafo Completo,1,1,0,Brute Force,126834,1
Grafo Completo,2,2,1,Brute Force,14458,2
Grafo Completo,3,3,3,Brute Force,33792,3
Grafo Completo,4,4,6,Brute Force,120250,4
Grafo Completo,5,5,10,Brute Force,596958,5
Grafo Completo,6,6,15,Brute Force,3858542,6
Grafo Completo,7,7,21,Brute Force,28930542,7
Grafo Completo,8,8,28,Brute Force,252835375,8
Grafo Completo,9,9,36,Brute Force,2434720375,9
Grafo Completo,1,1,0,Brute Force,15875,1
Grafo Completo,2,2,1,Brute Force,16542,2
Grafo Completo,3,3,3,Brute Force,33792,3
Grafo Completo,4,4,6,Brute Force,120750,4
Grafo Completo,5,5,10,Brute Force,598416,5
Grafo Completo,6,6,15,Brute Force,3929375,6
Grafo Completo,7,7,21,Brute Force,29181000,7
Grafo Completo,8,8,28,Brute Force,250102458,8
Grafo Completo,9,9,36,Brute Force,2427165708,9
Grafo Completo,1,1,0,Brute Force,16500,1
Grafo Completo,2,2,1,Brute Force,15042,2
Grafo Completo,3,3,3,Brute Force,34583,3
Grafo Completo,4,4,6,Brute Force,122375,4
Grafo Completo,5,5,10,Brute Force,604292,5
Grafo Completo,6,6,15,Brute Force,3873250,6
Grafo Completo,7,7,21,Brute Force,29076333,7
Grafo Completo,8,8,28,Brute Force,250719000,8
Grafo Completo,9,9,36,Brute Force,2453594000,9
Grafo Completo,1,1,0,Brute Force,18166,1
Grafo Completo,2,2,1,Brute Force,15166,2
Grafo Completo,3,3,3,Brute Force,34250,3
Grafo Completo,4,4,6,Brute Force,122458,4
Grafo Completo,5,5,10,Brute Force,600042,5
Grafo Completo,6,6,15,Brute Force,3919583,6
Grafo Completo,7,7,21,Brute Force,28998709,7
Grafo Completo,8,8,28,Brute Force,248637625,8
Grafo Completo,9,9,36,Brute Force,2428115375,9
Grafo Completo,1,1,0,Brute Force,16666,1
Grafo Completo,2,2,1,Brute Force,15875,2
Grafo Completo,3,3,3,Brute Force,33709,3
Grafo Completo,4,4,6,Brute Force,120541,4
Grafo Completo,5,5,10,Brute Force,695625,5
Grafo Completo,6,6,15,Brute Force,3866458,6
Grafo Completo,7,7,21,Brute Force,28837084,7
Grafo Completo,8,8,28,Brute Force,249918666,8
Grafo Completo,9,9,36,Brute Force,2426478416,9
Grafo Completo,1,1,0,Brute Force,17000,1
Grafo Completo,2,2,1,Brute Force,15417,2
Grafo Completo,3,3,3,Brute Force,34625,3
Grafo Completo,4,4,6,Brute Force,121167,4
Grafo Completo,5,5,10,Brute Force,609417,5
Grafo Completo,6,6,15,Brute Force,3863833,6
Grafo Completo,7,7,21,Brute Force,29027334,7
Grafo Completo,8,8,28,Brute Force,250212458,8
Grafo Completo,9,9,36,Brute Force,2468028875,9
Grafo Estrella,2,2,1,Brute Force,30416,2
Grafo Estrella,3,3,2,Brute Force,20250,2
