graph_type,n,num_nodes,num_edges,algorithm,time_ns,num_colors
Grafo Cíclico,3,3,3,Greedy,11958,3
Grafo Cíclico,3,3,3,Welsh-Powell,15417,3
Grafo Cíclico,4,4,4,Greedy,8125,2
Grafo Cíclico,4,4,4,Welsh-Powell,11583,2
Grafo Cíclico,5,5,5,Greedy,9459,3
Grafo Cíclico,5,5,5,Welsh-Powell,13375,3
Grafo Cíclico,6,6,6,Greedy,10250,2
Grafo Cíclico,6,6,6,Welsh-Powell,15417,2
Grafo Cíclico,7,7,7,Greedy,11334,3
Grafo Cíclico,7,7,7,Welsh-Powell,17000,3
Grafo Cíclico,8,8,8,Greedy,12917,3
Grafo Cíclico,8,8,8,Welsh-Powell,19208,2
Grafo Cíclico,9,9,9,Greedy,13875,3
Grafo Cíclico,9,9,9,Welsh-Powell,21500,3
Grafo Cíclico,10,10,10,Greedy,15083,3
Grafo Cíclico,10,10,10,Welsh-Powell,22666,2
Grafo Cíclico,11,11,11,Greedy,16333,3
Grafo Cíclico,11,11,11,Welsh-Powell,25083,3
Grafo Cíclico,12,12,12,Greedy,18458,3
Grafo Cíclico,12,12,12,Welsh-Powell,27583,2
Grafo Cíclico,13,13,13,Greedy,18459,3
Grafo Cíclico,13,13,13,Welsh-Powell,29667,3
Grafo Cíclico,14,14,14,Greedy,18958,3
Grafo Cíclico,14,14,14,Welsh-Powell,29833,2
Grafo Cíclico,15,15,15,Greedy,20625,3
Grafo Cíclico,15,15,15,Welsh-Powell,32250,3
Grafo Cíclico,16,16,16,Greedy,22416,3
Grafo Cíclico,16,16,16,Welsh-Powell,34917,2
Grafo Cíclico,17,17,17,Greedy,23083,3
Grafo Cíclico,17,17,17,Welsh-Powell,36625,3
Grafo Cíclico,18,18,18,Greedy,23959,3
Grafo Cíclico,18,18,18,Welsh-Powell,38083,2
Grafo Cíclico,19,19,19,Greedy,25500,3
Grafo Cíclico,19,19,19,Welsh-Powell,40000,3
Grafo Cíclico,20,20,20,Greedy,26416,3
Grafo Cíclico,20,20,20,Welsh-Powell,41708,2
Grafo Cíclico,21,21,21,Greedy,27500,3
Grafo Cíclico,21,21,21,Welsh-Powell,43209,3
Grafo Cíclico,22,22,22,Greedy,29458,3
Grafo Cíclico,22,22,22,Welsh-Powell,46125,2
Grafo Cíclico,23,23,23,Greedy,30416,3
Grafo Cíclico,23,23,23,Welsh-Powell,47959,3
Grafo Cíclico,24,24,24,Greedy,31500,3
Grafo Cíclico,24,24,24,Welsh-Powell,50375,2
Grafo Cíclico,25,25,25,Greedy,32542,3
Grafo Cíclico,25,25,25,Welsh-Powell,52292,3
Grafo Cíclico,26,26,26,Greedy,33375,3
Grafo Cíclico,26,26,26,Welsh-Powell,53792,2
Grafo Cíclico,27,27,27,Greedy,34083,3
Grafo Cíclico,27,27,27,Welsh-Powell,55958,3
Grafo Cíclico,28,28,28,Greedy,35417,3
Grafo Cíclico,28,28,28,Welsh-Powell,58000,2
Grafo Cíclico,29,29,29,Greedy,36834,3
Grafo Cíclico,29,29,29,Welsh-Powell,59709,3
Grafo Cíclico,30,30,30,Greedy,37917,3
Grafo Cíclico,30,30,30,Welsh-Powell,61791,2
Grafo Cíclico,31,31,31,Greedy,39750,3
Grafo Cíclico,31,31,31,Welsh-Powell,64375,3
Grafo Cíclico,32,32,32,Greedy,41458,3
Grafo Cíclico,32,32,32,Welsh-Powell,67083,2
Grafo Cíclico,33,33,33,Greedy,42541,3
Grafo Cíclico,33,33,33,Welsh-Powell,68833,3
Grafo Cíclico,34,34,34,Greedy,43333,3
Grafo Cíclico,34,34,34,Welsh-Powell,70625,2
Grafo Cíclico,35,35,35,Greedy,44084,3
Grafo Cíclico,35,35,35,Welsh-Powell,71584,3
Grafo Cíclico,36,36,36,Greedy,45750,3
Grafo Cíclico,36,36,36,Welsh-Powell,74333,2
Grafo Cíclico,37,37,37,Greedy,46625,3
Grafo Cíclico,37,37,37,Welsh-Powell,76042,3
Grafo Cíclico,38,38,38,Greedy,48333,3
Grafo Cíclico,38,38,38,Welsh-Powell,78125,2
Grafo Cíclico,39,39,39,Greedy,50000,3
Grafo Cíclico,39,39,39,Welsh-Powell,80833,3
Grafo Cíclico,3,3,3,Greedy,7584,3
Grafo Cíclico,3,3,3,Welsh-Powell,9041,3
Grafo Cíclico,4,4,4,Greedy,7083,2
Grafo Cíclico,4,4,4,Welsh-Powell,10458,2
Grafo Cíclico,5,5,5,Greedy,8250,3
Grafo Cíclico,5,5,5,Welsh-Powell,12667,3
Grafo Cíclico,6,6,6,Greedy,9583,2
Grafo Cíclico,6,6,6,Welsh-Powell,14416,2
Grafo Cíclico,7,7,7,Greedy,10500,3
Grafo Cíclico,7,7,7,Welsh-Powell,16333,3
Grafo Cíclico,8,8,8,Greedy,12125,3
Grafo Cíclico,8,8,8,Welsh-Powell,18667,2
Grafo Cíclico,9,9,9,Greedy,13083,3
Grafo Cíclico,9,9,9,Welsh-Powell,20416,3
Grafo Cíclico,10,10,10,Greedy,14292,3
Grafo Cíclico,10,10,10,Welsh-Powell,22125,2
Grafo Cíclico,11,11,11,Greedy,16083,3
Grafo Cíclico,11,11,11,Welsh-Powell,24542,3
Grafo Cíclico,12,12,12,Greedy,16666,3
Grafo Cíclico,12,12,12,Welsh-Powell,26458,2
Grafo Cíclico,13,13,13,Greedy,17917,3
Grafo Cíclico,13,13,13,Welsh-Powell,28167,3
Grafo Cíclico,14,14,14,Greedy,18875,3
Grafo Cíclico,14,14,14,Welsh-Powell,30041,2
Grafo Cíclico,15,15,15,Greedy,20584,3
Grafo Cíclico,15,15,15,Welsh-Powell,32375,3
Grafo Cíclico,16,16,16,Greedy,22000,3
Grafo Cíclico,16,16,16,Welsh-Powell,34708,2
Grafo Cíclico,17,17,17,Greedy,23208,3
Grafo Cíclico,17,17,17,Welsh-Powell,36416,3
Grafo Cíclico,18,18,18,Greedy,24042,3
Grafo Cíclico,18,18,18,Welsh-Powell,38000,2
Grafo Cíclico,19,19,19,Greedy,25125,3
Grafo Cíclico,19,19,19,Welsh-Powell,39625,3
Grafo Cíclico,20,20,20,Greedy,26334,3
Grafo Cíclico,20,20,20,Welsh-Powell,41834,2
Grafo Cíclico,21,21,21,Greedy,27625,3
Grafo Cíclico,21,21,21,Welsh-Powell,43542,3
Grafo Cíclico,22,22,22,Greedy,29333,3
Grafo Cíclico,22,22,22,Welsh-Powell,46334,2
Grafo Cíclico,23,23,23,Greedy,30583,3
Grafo Cíclico,23,23,23,Welsh-Powell,47000,3
Grafo Cíclico,24,24,24,Greedy,31250,3
Grafo Cíclico,24,24,24,Welsh-Powell,49333,2
Grafo Cíclico,25,25,25,Greedy,32291,3
Grafo Cíclico,25,25,25,Welsh-Powell,51250,3
Grafo Cíclico,26,26,26,Greedy,33583,3
Grafo Cíclico,26,26,26,Welsh-Powell,53250,2
Grafo Cíclico,27,27,27,Greedy,34708,3
Grafo Cíclico,27,27,27,Welsh-Powell,55541,3
Grafo Cíclico,28,28,28,Greedy,35792,3
Grafo Cíclico,28,28,28,Welsh-Powell,56583,2
Grafo Cíclico,29,29,29,Greedy,37166,3
Grafo Cíclico,29,29,29,Welsh-Powell,58625,3
Grafo Cíclico,30,30,30,Greedy,38292,3
Grafo Cíclico,30,30,30,Welsh-Powell,61167,2
Grafo Cíclico,31,31,31,Greedy,39500,3
Grafo Cíclico,31,31,31,Welsh-Powell,62833,3
Grafo Cíclico,32,32,32,Greedy,41167,3
Grafo Cíclico,32,32,32,Welsh-Powell,65000,2
Grafo Cíclico,33,33,33,Greedy,42208,3
Grafo Cíclico,33,33,33,Welsh-Powell,67208,3
Grafo Cíclico,34,34,34,Greedy,43334,3
Grafo Cíclico,34,34,34,Welsh-Powell,68792,2
Grafo Cíclico,35,35,35,Greedy,44333,3
Grafo Cíclico,35,35,35,Welsh-Powell,69917,3
Grafo Cíclico,36,36,36,Greedy,45333,3
Grafo Cíclico,36,36,36,Welsh-Powell,72500,2
Grafo Cíclico,37,37,37,Greedy,46375,3
Grafo Cíclico,37,37,37,Welsh-Powell,74958,3
Grafo Cíclico,38,38,38,Greedy,48000,3
Grafo Cíclico,38,38,38,Welsh-Powell,76583,2
Grafo Cíclico,39,39,39,Greedy,49042,3
Grafo Cíclico,39,39,39,Welsh-Powell,79625,3
Grafo Cíclico,3,3,3,Greedy,5958,3
Grafo Cíclico,3,3,3,Welsh-Powell,8333,3
Grafo Cíclico,4,4,4,Greedy,6667,2
