graph_type,n,num_nodes,num_edges,algorithm,time_ns,num_colors
Grafo Cíclico,3,3,3,Brute Force,48625,3
Grafo Cíclico,4,4,4,Brute Force,22833,2
Grafo Cíclico,5,5,5,Brute Force,63000,3
Grafo Cíclico,6,6,6,Brute Force,26750,2
Grafo Cíclico,7,7,7,Brute Force,144709,3
Grafo Cíclico,8,8,8,Brute Force,49000,2
Grafo Cíclico,3,3,3,Brute Force,41792,3
Grafo Cíclico,4,4,4,Brute Force,22375,2
Grafo Cíclico,5,5,5,Brute Force,61958,3
Grafo Cíclico,6,6,6,Brute Force,26083,2
Grafo Cíclico,7,7,7,Brute Force,80250,3
Grafo Cíclico,8,8,8,Brute Force,42875,2
Grafo Cíclico,3,3,3,Brute Force,33500,3
Grafo Cíclico,4,4,4,Brute Force,18250,2
Grafo Cíclico,5,5,5,Brute Force,72000,3
Grafo Cíclico,6,6,6,Brute Force,89291,2
Grafo Cíclico,7,7,7,Brute Force,81834,3
Grafo Cíclico,8,8,8,Brute Force,41042,2
Grafo Cíclico,3,3,3,Brute Force,34084,3
Grafo Cíclico,4,4,4,Brute Force,18416,2
Grafo Cíclico,5,5,5,Brute Force,58291,3
Grafo Cíclico,6,6,6,Brute Force,24708,2
Grafo Cíclico,7,7,7,Brute Force,80292,3
Grafo Cíclico,8,8,8,Brute Force,40292,2
Grafo Cíclico,3,3,3,Brute Force,32792,3
Grafo Cíclico,4,4,4,Brute Force,18542,2
Grafo Cíclico,5,5,5,Brute Force,57667,3
Grafo Cíclico,6,6,6,Brute Force,24708,2
Grafo Cíclico,7,7,7,Brute Force,81334,3
Grafo Cíclico,8,8,8,Brute Force,39875,2
Grafo Cíclico,3,3,3,Brute Force,33166,3
Grafo Cíclico,4,4,4,Brute Force,18750,2
Grafo Cíclico,5,5,5,Brute Force,59667,3
Grafo Cíclico,6,6,6,Brute Force,138667,2
Grafo Cíclico,7,7,7,Brute Force,79750,3
Grafo Cíclico,8,8,8,Brute Force,39708,2
Grafo Cíclico,3,3,3,Brute Force,33375,3
Grafo Cíclico,4,4,4,Brute Force,18292,2
Grafo Cíclico,5,5,5,Brute Force,56334,3
Grafo Cíclico,6,6,6,Brute Force,24291,2
Grafo Cíclico,7,7,7,Brute Force,77500,3
