graph_type,n,num_nodes,num_edges,algorithm,time_ns,num_colors
Grafo Cíclico,3,3,3,Greedy,11500,3
Grafo Cíclico,3,3,3,Welsh-Powell,11542,3
Grafo Cíclico,3,3,3,Brute Force,43042,3
Grafo Cíclico,4,4,4,Greedy,7792,2
Grafo Cíclico,4,4,4,Welsh-Powell,11250,2
Grafo Cíclico,4,4,4,Brute Force,21500,2
Grafo Cíclico,5,5,5,Greedy,9166,3
Grafo Cíclico,5,5,5,Welsh-Powell,12875,3
Grafo Cíclico,5,5,5,Brute Force,66667,3
Grafo Cíclico,6,6,6,Greedy,10041,2
Grafo Cíclico,6,6,6,Welsh-Powell,14791,2
Grafo Cíclico,6,6,6,Brute Force,27750,2
Grafo Cíclico,7,7,7,Greedy,11917,3
Grafo Cíclico,7,7,7,Welsh-Powell,16458,3
Grafo Cíclico,7,7,7,Brute Force,96583,3
Grafo Cíclico,8,8,8,Greedy,12500,2
Grafo Cíclico,8,8,8,Welsh-Powell,18625,2
Grafo Cíclico,8,8,8,Brute Force,31958,2
Grafo Cíclico,9,9,9,Greedy,13417,3
Grafo Cíclico,9,9,9,Welsh-Powell,20375,3
Grafo Cíclico,9,9,9,Brute Force,149916,3
Grafo Cíclico,10,10,10,Greedy,14042,2
Grafo Cíclico,10,10,10,Welsh-Powell,22167,2
Grafo Cíclico,10,10,10,Brute Force,35625,2
Grafo Completo,1,1,0,Greedy,2875,1
Grafo Completo,1,1,0,Welsh-Powell,3792,1
Grafo Completo,1,1,0,Brute Force,5459,1
Grafo Completo,2,2,1,Greedy,4042,2
Grafo Completo,2,2,1,Welsh-Powell,5875,2
Grafo Completo,2,2,1,Brute Force,12208,2
Grafo Completo,3,3,3,Greedy,5584,3
Grafo Completo,3,3,3,Welsh-Powell,7875,3
Grafo Completo,3,3,3,Brute Force,31875,3
Grafo Completo,4,4,6,Greedy,9959,4
Grafo Completo,4,4,6,Welsh-Powell,11750,4
Grafo Completo,4,4,6,Brute Force,122916,4
Grafo Completo,5,5,10,Greedy,13791,5
Grafo Completo,5,5,10,Welsh-Powell,15417,5
Grafo Completo,5,5,10,Brute Force,611667,5
Grafo Completo,6,6,15,Greedy,14917,6
Grafo Completo,6,6,15,Welsh-Powell,19250,6
Grafo Completo,6,6,15,Brute Force,4365334,6
Grafo Completo,7,7,21,Greedy,24542,7
Grafo Completo,7,7,21,Welsh-Powell,37375,7
Grafo Completo,7,7,21,Brute Force,33541083,7
Grafo Completo,8,8,28,Greedy,27375,8
Grafo Completo,8,8,28,Welsh-Powell,81417,8
Grafo Completo,8,8,28,Brute Force,277392750,8
Grafo Completo,9,9,36,Greedy,33791,9
Grafo Completo,9,9,36,Welsh-Powell,38500,9
Grafo Completo,9,9,36,Brute Force,2435898417,9
Grafo Completo,10,10,45,Greedy,42333,10
Grafo Completo,10,10,45,Welsh-Powell,46500,10
Grafo Completo,10,10,45,Brute Force,26109799792,10
Grafo Estrella,2,2,1,Greedy,9583,2
Grafo Estrella,2,2,1,Welsh-Powell,9417,2
Grafo Estrella,2,2,1,Brute Force,26042,2
Grafo Estrella,3,3,2,Greedy,5625,2
Grafo Estrella,3,3,2,Welsh-Powell,8292,2
Grafo Estrella,3,3,2,Brute Force,17959,2
Grafo Estrella,4,4,3,Greedy,6458,2
Grafo Estrella,4,4,3,Welsh-Powell,10333,2
Grafo Estrella,4,4,3,Brute Force,18875,2
Grafo Estrella,5,5,4,Greedy,8083,2
Grafo Estrella,5,5,4,Welsh-Powell,11584,2
Grafo Estrella,5,5,4,Brute Force,21792,2
Grafo Estrella,6,6,5,Greedy,9375,2
Grafo Estrella,6,6,5,Welsh-Powell,13375,2
Grafo Estrella,6,6,5,Brute Force,21917,2
Grafo Estrella,7,7,6,Greedy,10167,2
Grafo Estrella,7,7,6,Welsh-Powell,15250,2
Grafo Estrella,7,7,6,Brute Force,22292,2
Grafo Estrella,8,8,7,Greedy,12584,2
Grafo Estrella,8,8,7,Welsh-Powell,17375,2
Grafo Estrella,8,8,7,Brute Force,30791,2
Grafo Estrella,9,9,8,Greedy,12416,2
Grafo Estrella,9,9,8,Welsh-Powell,19583,2
