graph_type,n,num_nodes,num_edges,algorithm,time_ns,num_colors
Grafo Cíclico,3,3,3,Greedy,12208,3
Grafo Cíclico,3,3,3,Welsh-Powell,12208,3
Grafo Cíclico,4,4,4,Greedy,7667,2
Grafo Cíclico,4,4,4,Welsh-Powell,10917,2
Grafo Cíclico,5,5,5,Greedy,8250,3
Grafo Cíclico,5,5,5,Welsh-Powell,12666,3
Grafo Cíclico,6,6,6,Greedy,9542,3
Grafo Cíclico,6,6,6,Welsh-Powell,14292,2
Grafo Cíclico,7,7,7,Greedy,10583,3
Grafo Cíclico,7,7,7,Welsh-Powell,16166,3
Grafo Cíclico,8,8,8,Greedy,12166,2
Grafo Cíclico,8,8,8,Welsh-Powell,18417,2
Grafo Cíclico,9,9,9,Greedy,13375,3
Grafo Cíclico,9,9,9,Welsh-Powell,20375,3
Grafo Cíclico,10,10,10,Greedy,14584,2
Grafo Cíclico,10,10,10,Welsh-Powell,22167,2
Grafo Cíclico,11,11,11,Greedy,15667,3
Grafo Cíclico,11,11,11,Welsh-Powell,23542,3
Grafo Cíclico,12,12,12,Greedy,16333,2
Grafo Cíclico,12,12,12,Welsh-Powell,26000,2
Grafo Cíclico,13,13,13,Greedy,17583,3
Grafo Cíclico,13,13,13,Welsh-Powell,28333,3
Grafo Cíclico,14,14,14,Greedy,18417,2
Grafo Cíclico,14,14,14,Welsh-Powell,29875,2
Grafo Cíclico,15,15,15,Greedy,19833,3
Grafo Cíclico,15,15,15,Welsh-Powell,31708,3
Grafo Cíclico,16,16,16,Greedy,22209,3
Grafo Cíclico,16,16,16,Welsh-Powell,34667,2
Grafo Cíclico,17,17,17,Greedy,22916,3
Grafo Cíclico,17,17,17,Welsh-Powell,36750,3
Grafo Cíclico,18,18,18,Greedy,23833,3
Grafo Cíclico,18,18,18,Welsh-Powell,37583,2
Grafo Cíclico,19,19,19,Greedy,25042,3
Grafo Cíclico,19,19,19,Welsh-Powell,40083,3
Grafo Cíclico,20,20,20,Greedy,26542,2
Grafo Cíclico,20,20,20,Welsh-Powell,41500,2
Grafo Cíclico,21,21,21,Greedy,27750,3
Grafo Cíclico,21,21,21,Welsh-Powell,44292,3
Grafo Cíclico,22,22,22,Greedy,29000,2
Grafo Cíclico,22,22,22,Welsh-Powell,46375,2
Grafo Cíclico,23,23,23,Greedy,30333,3
Grafo Cíclico,23,23,23,Welsh-Powell,48541,3
Grafo Cíclico,24,24,24,Greedy,31209,2
Grafo Cíclico,24,24,24,Welsh-Powell,50083,2
Grafo Cíclico,25,25,25,Greedy,32542,3
Grafo Cíclico,25,25,25,Welsh-Powell,51708,3
Grafo Cíclico,26,26,26,Greedy,33958,3
Grafo Cíclico,26,26,26,Welsh-Powell,53958,2
Grafo Cíclico,27,27,27,Greedy,34583,3
Grafo Cíclico,27,27,27,Welsh-Powell,55750,3
Grafo Cíclico,28,28,28,Greedy,35792,3
Grafo Cíclico,28,28,28,Welsh-Powell,57500,2
Grafo Cíclico,29,29,29,Greedy,36583,3
Grafo Cíclico,29,29,29,Welsh-Powell,59375,3
Grafo Cíclico,30,30,30,Greedy,38500,3
Grafo Cíclico,30,30,30,Welsh-Powell,61792,2
Grafo Cíclico,31,31,31,Greedy,39791,3
Grafo Cíclico,31,31,31,Welsh-Powell,64042,3
Grafo Cíclico,32,32,32,Greedy,42167,3
Grafo Cíclico,32,32,32,Welsh-Powell,67375,2
Grafo Cíclico,33,33,33,Greedy,41833,3
Grafo Cíclico,33,33,33,Welsh-Powell,68333,3
Grafo Cíclico,34,34,34,Greedy,42750,3
Grafo Cíclico,34,34,34,Welsh-Powell,69834,2
Grafo Cíclico,35,35,35,Greedy,44166,3
Grafo Cíclico,35,35,35,Welsh-Powell,72375,3
Grafo Cíclico,36,36,36,Greedy,44917,3
Grafo Cíclico,36,36,36,Welsh-Powell,74417,2
Grafo Cíclico,37,37,37,Greedy,46083,3
Grafo Cíclico,37,37,37,Welsh-Powell,76459,3
Grafo Cíclico,38,38,38,Greedy,47917,3
Grafo Cíclico,38,38,38,Welsh-Powell,78042,2
Grafo Cíclico,39,39,39,Greedy,48584,3
Grafo Cíclico,39,39,39,Welsh-Powell,80791,3
Grafo Cíclico,40,40,40,Greedy,49125,3
Grafo Cíclico,40,40,40,Welsh-Powell,82709,2
Grafo Cíclico,41,41,41,Greedy,51750,3
Grafo Cíclico,41,41,41,Welsh-Powell,85041,3
Grafo Cíclico,42,42,42,Greedy,52625,3
Grafo Cíclico,42,42,42,Welsh-Powell,86125,2
Grafo Cíclico,43,43,43,Greedy,53542,3
Grafo Cíclico,43,43,43,Welsh-Powell,88375,3
Grafo Cíclico,44,44,44,Greedy,54166,3
Grafo Cíclico,44,44,44,Welsh-Powell,89667,2
Grafo Cíclico,45,45,45,Greedy,56000,3
Grafo Cíclico,45,45,45,Welsh-Powell,93500,3
Grafo Cíclico,46,46,46,Greedy,57500,3
Grafo Cíclico,46,46,46,Welsh-Powell,92666,2
Grafo Cíclico,47,47,47,Greedy,58792,3
Grafo Cíclico,47,47,47,Welsh-Powell,96000,3
Grafo Cíclico,48,48,48,Greedy,59666,3
Grafo Cíclico,48,48,48,Welsh-Powell,96708,2
Grafo Cíclico,49,49,49,Greedy,61542,3
Grafo Cíclico,49,49,49,Welsh-Powell,99208,3
Grafo Completo,1,1,0,Greedy,3791,1
Grafo Completo,1,1,0,Welsh-Powell,5083,1
Grafo Completo,2,2,1,Greedy,5084,2
Grafo Completo,2,2,1,Welsh-Powell,5834,2
Grafo Completo,3,3,3,Greedy,5459,3
Grafo Completo,3,3,3,Welsh-Powell,8083,3
Grafo Completo,4,4,6,Greedy,7875,4
Grafo Completo,4,4,6,Welsh-Powell,10958,4
Grafo Completo,5,5,10,Greedy,10666,5
Grafo Completo,5,5,10,Welsh-Powell,14250,5
Grafo Completo,6,6,15,Greedy,13875,6
Grafo Completo,6,6,15,Welsh-Powell,18292,6
Grafo Completo,7,7,21,Greedy,17458,7
Grafo Completo,7,7,21,Welsh-Powell,22958,7
Grafo Completo,8,8,28,Greedy,21750,8
Grafo Completo,8,8,28,Welsh-Powell,27791,8
Grafo Completo,9,9,36,Greedy,26209,9
Grafo Completo,9,9,36,Welsh-Powell,32917,9
Grafo Completo,10,10,45,Greedy,31667,10
Grafo Completo,10,10,45,Welsh-Powell,39292,10
Grafo Completo,11,11,55,Greedy,37959,11
Grafo Completo,11,11,55,Welsh-Powell,45583,11
Grafo Completo,12,12,66,Greedy,44333,12
Grafo Completo,12,12,66,Welsh-Powell,55458,12
Grafo Completo,13,13,78,Greedy,50875,13
Grafo Completo,13,13,78,Welsh-Powell,61125,13
Grafo Completo,14,14,91,Greedy,58042,14
Grafo Completo,14,14,91,Welsh-Powell,68333,14
Grafo Completo,15,15,105,Greedy,64875,15
Grafo Completo,15,15,105,Welsh-Powell,77041,15
Grafo Completo,16,16,120,Greedy,73416,16
Grafo Completo,16,16,120,Welsh-Powell,85584,16
Grafo Completo,17,17,136,Greedy,89667,17
Grafo Completo,17,17,136,Welsh-Powell,101083,17
Grafo Completo,18,18,153,Greedy,93041,18
Grafo Completo,18,18,153,Welsh-Powell,108917,18
Grafo Completo,19,19,171,Greedy,101416,19
Grafo Completo,19,19,171,Welsh-Powell,116958,19
Grafo Completo,20,20,190,Greedy,113875,20
